Fold	Epoch	Time	RMSE_tr	R2_tr	MAE_te	RMSE_te	R2_te	PCC_te	SCC_te
6	1	102.6	1.3484	0.2266	1.1331	1.4675	0.0057	0.2103	0.2059
6	2	204.9	1.0845	0.4997	1.1843	1.5387	-0.0932	0.1894	0.2037
6	3	307.1	0.985	0.5872	1.1435	1.4761	-0.0061	0.2587	0.2766
6	4	408.6	0.9346	0.6284	1.1387	1.4952	-0.0322	0.2448	0.258
6	5	510.0	0.9008	0.6548	1.1333	1.4739	-0.003	0.2614	0.2827
6	6	611.9	0.8743	0.6748	1.1746	1.5258	-0.0749	0.2495	0.2664
6	7	714.2	0.859	0.6861	1.2045	1.5587	-0.1218	0.2328	0.247
6	8	816.3	0.8417	0.6986	1.1629	1.5031	-0.0432	0.2343	0.259
6	9	918.8	0.8303	0.7067	1.148	1.4932	-0.0295	0.228	0.2479
6	10	1021.2	0.7744	0.7449	1.1438	1.4808	-0.0125	0.2469	0.2653
6	11	1123.2	0.7619	0.753	1.1737	1.5251	-0.0739	0.2195	0.2489
6	12	1225.1	0.756	0.7569	1.2163	1.5567	-0.1189	0.219	0.2426
