Fold	Epoch	Time	RMSE_tr	R2_tr	MAE_te	RMSE_te	R2_te	PCC_te	SCC_te
5	6	933.3	0.82	0.5938	0.9382	1.1972	0.1033	0.4138	0.4036
5	7	1089.7	0.8011	0.6124	0.9441	1.2071	0.0883	0.3839	0.3766
5	8	1245.6	0.8073	0.6063	0.943	1.2018	0.0963	0.3977	0.3969
5	9	1402.2	0.7927	0.6205	0.9487	1.206	0.09	0.3957	0.3923
5	10	1557.8	0.7456	0.6642	0.9954	1.2729	-0.0138	0.346	0.3456
5	11	1712.5	0.7339	0.6747	0.9976	1.2761	-0.0189	0.3782	0.3781
5	12	1868.7	0.7263	0.6814	0.9934	1.2725	-0.0131	0.364	0.3611
5	13	2026.2	0.7174	0.6892	1.0197	1.308	-0.0705	0.3149	0.3187
5	14	2181.5	0.7108	0.6949	1.0264	1.3161	-0.0838	0.3196	0.3206
5	15	2337.6	0.7045	0.7002	1.0483	1.3456	-0.1329	0.3357	0.3419
5	16	2493.6	0.6991	0.7048	1.0492	1.3457	-0.133	0.2749	0.28
5	17	2650.1	0.6978	0.7059	0.9786	1.2553	0.014	0.3478	0.3602
5	18	2805.6	0.7008	0.7033	1.0451	1.344	-0.1301	0.3289	0.3336
5	19	2961.5	0.6904	0.7121	1.0188	1.3091	-0.0723	0.3185	0.3235
5	20	3116.1	0.6613	0.7358	1.0057	1.2946	-0.0485	0.3353	0.3434
5	21	3272.0	0.656	0.7401	1.0417	1.3455	-0.1326	0.2901	0.299
5	22	3427.9	0.6513	0.7437	1.0641	1.3753	-0.1835	0.3077	0.3163
5	23	3584.0	0.647	0.7471	1.0952	1.4137	-0.2504	0.2762	0.285
5	24	3739.6	0.6445	0.7491	1.0572	1.3665	-0.1683	0.3109	0.3168
5	25	3895.5	0.6412	0.7517	1.0073	1.2979	-0.054	0.3186	0.3242
5	26	4052.0	0.6382	0.7539	1.0549	1.3635	-0.1633	0.2904	0.3015
5	27	4209.0	0.635	0.7564	1.0993	1.4226	-0.2661	0.2745	0.2836
5	28	4365.6	0.6331	0.7579	1.0331	1.3324	-0.1107	0.3086	0.3177
5	29	4521.6	0.63	0.7603	1.056	1.3678	-0.1706	0.3124	0.3189
5	30	4676.8	0.6115	0.7741	1.0568	1.3667	-0.1687	0.2914	0.3009
5	31	4831.3	0.6084	0.7764	1.0678	1.3859	-0.2017	0.2916	0.3018
5	32	4986.4	0.6053	0.7787	1.0704	1.3849	-0.2	0.2839	0.294
5	33	5142.5	0.6027	0.7806	1.0738	1.3917	-0.2118	0.2855	0.2936
5	34	5297.6	0.6004	0.7823	1.0676	1.3853	-0.2007	0.2831	0.2931
5	35	5453.9	0.5988	0.7834	1.0602	1.375	-0.1828	0.2802	0.2902
5	36	5610.2	0.5964	0.7851	1.0707	1.3885	-0.2063	0.2786	0.2901
5	37	5765.4	0.5952	0.786	1.0918	1.4196	-0.2609	0.2679	0.2773
5	38	5920.9	0.5928	0.7877	1.1008	1.4293	-0.2781	0.2532	0.2641
5	39	6076.7	0.5901	0.7897	1.0893	1.4153	-0.2533	0.2615	0.2735
5	40	6232.2	0.5787	0.7977	1.0952	1.4237	-0.2682	0.2574	0.2697
5	41	6387.5	0.5766	0.7992	1.0908	1.4184	-0.2587	0.271	0.2818
5	42	6542.7	0.5744	0.8007	1.0719	1.3934	-0.2149	0.2727	0.2853
5	43	6697.8	0.5731	0.8016	1.0796	1.4035	-0.2325	0.2759	0.2878
5	44	6853.9	0.5713	0.8028	1.0889	1.4158	-0.2541	0.2713	0.2819
5	45	7009.5	0.5701	0.8037	1.0943	1.4237	-0.2681	0.2633	0.2752
5	46	7164.2	0.5688	0.8046	1.1022	1.4351	-0.2886	0.258	0.2699
5	47	7320.4	0.567	0.8058	1.0985	1.4286	-0.277	0.2565	0.2665
5	48	7477.0	0.5652	0.8071	1.1157	1.4539	-0.3226	0.2577	0.2711
5	49	7633.2	0.5639	0.8079	1.098	1.4293	-0.2781	0.2443	0.2562
5	50	7788.6	0.5564	0.813	1.1106	1.4479	-0.3116	0.2529	0.2651
6	1	155.4	1.0765	0.2927	0.9345	1.1979	0.201	0.4728	0.4728
6	2	310.7	0.924	0.4789	1.2019	1.4869	-0.2311	0.4443	0.4637
6	3	466.4	0.8653	0.543	0.9059	1.1798	0.2249	0.49	0.4938
6	4	623.0	0.8332	0.5762	0.9247	1.1915	0.2095	0.4669	0.4726
6	5	778.4	0.8098	0.5997	0.9542	1.229	0.1589	0.4352	0.4309
6	6	933.2	0.7924	0.6168	0.9586	1.2404	0.1433	0.4416	0.443
6	7	1089.6	0.7807	0.628	0.9605	1.2301	0.1574	0.4387	0.441
6	8	1245.5	0.766	0.6418	0.9379	1.2145	0.1787	0.4564	0.4583
6	9	1400.5	0.7576	0.6497	0.9353	1.2131	0.1805	0.4622	0.4631
6	10	1555.7	0.7106	0.6918	0.9899	1.2715	0.0998	0.4248	0.4252
6	11	1710.7	0.6996	0.7012	0.9814	1.2637	0.1108	0.407	0.4103
6	12	1866.4	0.6915	0.7082	0.9804	1.2657	0.108	0.4083	0.4123
6	13	2022.4	0.6838	0.7146	0.9771	1.2595	0.1168	0.4186	0.4266
6	14	2179.2	0.6794	0.7183	1.0045	1.2946	0.0668	0.4107	0.4206
