Fold	Epoch	Time	RMSE_tr	R2_tr	MAE_te	RMSE_te	R2_te	PCC_te	SCC_te
4	16	1519.8	1.0453	0.6526	1.5565	2.0243	-0.2889	0.2035	0.2241
4	17	1615.3	1.0396	0.6564	1.5821	2.0639	-0.3398	0.1926	0.2124
4	18	1710.0	1.0359	0.6588	1.5831	2.0647	-0.3408	0.1984	0.2183
4	19	1805.4	1.0355	0.6591	1.5722	2.0559	-0.3294	0.1886	0.2106
4	20	1900.5	0.9963	0.6844	1.5399	2.004	-0.2632	0.1974	0.2182
4	21	1995.5	0.992	0.6871	1.5391	2.0017	-0.2603	0.1933	0.2113
4	22	2091.2	0.9845	0.6918	1.564	2.035	-0.3025	0.1861	0.2073
4	23	2197.9	0.9831	0.6927	1.5902	2.0692	-0.3468	0.1935	0.2109
4	24	2303.9	0.9784	0.6956	1.5957	2.0888	-0.3724	0.186	0.2051
4	25	2410.2	0.9755	0.6975	1.5277	1.9856	-0.2402	0.196	0.216
4	26	2516.4	0.9735	0.6987	1.6274	2.1261	-0.4218	0.1856	0.2083
4	27	2622.4	0.9697	0.701	1.5708	2.0449	-0.3152	0.1889	0.2073
4	28	2728.6	0.9666	0.703	1.6109	2.0976	-0.3839	0.1847	0.2044
4	29	2834.2	0.9646	0.7042	1.5969	2.0829	-0.3646	0.1825	0.2028
4	30	2939.6	0.941	0.7185	1.6278	2.1283	-0.4247	0.1861	0.2067
4	31	3045.1	0.9376	0.7205	1.632	2.1321	-0.4299	0.1848	0.2057
4	32	3150.8	0.9346	0.7223	1.6215	2.1193	-0.4127	0.1789	0.1989
4	33	3256.6	0.9319	0.7239	1.5804	2.0605	-0.3354	0.1806	0.2004
4	34	3362.2	0.9286	0.7259	1.6459	2.1518	-0.4564	0.1788	0.1976
4	35	3468.4	0.9272	0.7267	1.6109	2.1069	-0.3963	0.1776	0.1983
4	36	3574.8	0.9239	0.7286	1.6436	2.1513	-0.4557	0.1768	0.1951
4	37	3681.4	0.9224	0.7295	1.6385	2.1411	-0.4419	0.175	0.1971
4	38	3787.8	0.9198	0.731	1.6219	2.1162	-0.4086	0.1734	0.1954
4	39	3893.7	0.9175	0.7324	1.638	2.1395	-0.4397	0.1794	0.1997
4	40	4000.0	0.9026	0.741	1.6517	2.1604	-0.468	0.1712	0.1932
4	41	4106.1	0.9	0.7425	1.6327	2.1331	-0.4312	0.1799	0.2
4	42	4212.2	0.8982	0.7435	1.6375	2.142	-0.4431	0.1705	0.1918
4	43	4318.2	0.8975	0.7439	1.6641	2.1786	-0.4929	0.1708	0.1923
4	44	4423.8	0.8943	0.7457	1.6525	2.166	-0.4756	0.176	0.1979
4	45	4530.1	0.8929	0.7465	1.6564	2.1632	-0.4719	0.1722	0.1932
4	46	4636.2	0.8906	0.7479	1.6562	2.168	-0.4785	0.1697	0.192
4	47	4742.0	0.8899	0.7482	1.6651	2.1777	-0.4916	0.1753	0.197
4	48	4848.3	0.8874	0.7496	1.6487	2.1558	-0.4618	0.1723	0.194
4	49	4954.6	0.8863	0.7502	1.6733	2.1894	-0.5077	0.1672	0.1901
4	50	5061.1	0.8767	0.7556	1.6762	2.1927	-0.5123	0.1685	0.1901
5	1	106.8	1.6624	0.1126	1.3924	1.7998	0.0569	0.2707	0.3016
5	2	214.1	1.4092	0.3623	1.4014	1.7955	0.0614	0.2862	0.3096
5	3	321.4	1.3204	0.4402	1.431	1.8366	0.0179	0.2664	0.2817
5	4	428.5	1.2772	0.4763	1.4528	1.857	-0.004	0.2558	0.2634
5	5	535.6	1.2427	0.5042	1.45	1.8523	0.0011	0.268	0.2704
5	6	642.8	1.2159	0.5253	1.5325	1.9462	-0.1027	0.2401	0.2365
5	7	749.5	1.1949	0.5416	1.4759	1.8896	-0.0396	0.2484	0.2638
5	8	856.2	1.1766	0.5555	1.4844	1.898	-0.0488	0.2496	0.2563
5	9	963.5	1.1646	0.5645	1.5022	1.9147	-0.0673	0.244	0.2396
5	10	1070.7	1.1209	0.5966	1.5158	1.9092	-0.0612	0.2394	0.2272
5	11	1178.0	1.1079	0.6059	1.4705	1.8749	-0.0235	0.268	0.2719
5	12	1285.3	1.0958	0.6145	1.5364	1.9593	-0.1176	0.237	0.2354
5	13	1392.4	1.0887	0.6194	1.594	2.0297	-0.1994	0.234	0.2316
